{'source_ip': '10.0.2.15', 'dest_ip': '142.250.185.238', 'source_port': 52716, 'dest_port': 443, 'timestamp': 1686053591.2150857, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '142.250.185.238', 'source_port': 52716, 'dest_port': 443, 'timestamp': 1686053591.2229228, 'total_length': 128, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '142.250.185.238', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 52716, 'timestamp': 1686053591.2241395, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '142.250.185.238', 'source_port': 52716, 'dest_port': 443, 'timestamp': 1686053591.224974, 'total_length': 152, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '142.250.185.238', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 52716, 'timestamp': 1686053591.225945, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '142.250.185.238', 'source_port': 52716, 'dest_port': 443, 'timestamp': 1686053591.2267153, 'total_length': 706, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '142.250.185.238', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 52716, 'timestamp': 1686053591.2271178, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '142.250.185.238', 'source_port': 52716, 'dest_port': 443, 'timestamp': 1686053591.2279215, 'total_length': 305, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '142.250.185.238', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 52716, 'timestamp': 1686053591.2283342, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35204, 'timestamp': 1686053591.2469044, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35204, 'dest_port': 443, 'timestamp': 1686053591.2469459, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35204, 'dest_port': 443, 'timestamp': 1686053591.2509646, 'total_length': 571, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35204, 'timestamp': 1686053591.2520442, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '142.250.185.238', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 52716, 'timestamp': 1686053591.3113558, 'total_length': 1028, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '142.250.185.238', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 52716, 'timestamp': 1686053591.311356, 'total_length': 85, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '142.250.185.238', 'source_port': 52716, 'dest_port': 443, 'timestamp': 1686053591.3151045, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '142.250.185.238', 'source_port': 52716, 'dest_port': 443, 'timestamp': 1686053591.3174822, 'total_length': 85, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '142.250.185.238', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 52716, 'timestamp': 1686053591.3255866, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '142.250.185.238', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 52716, 'timestamp': 1686053591.3271468, 'total_length': 413, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '142.250.185.238', 'source_port': 52716, 'dest_port': 443, 'timestamp': 1686053591.3349054, 'total_length': 93, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '142.250.185.238', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 52716, 'timestamp': 1686053591.3384228, 'total_length': 60, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053591.4336855, 'total_length': 1514, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053591.4337146, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053591.4336858, 'total_length': 1514, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053591.4339538, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35196, 'timestamp': 1686053591.4336858, 'total_length': 2974, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35196, 'dest_port': 443, 'timestamp': 1686053591.4340153, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35188, 'timestamp': 1686053591.4344814, 'total_length': 3265, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
{'source_ip': '10.0.2.15', 'dest_ip': '23.108.108.219', 'source_port': 35188, 'dest_port': 443, 'timestamp': 1686053591.4344907, 'total_length': 54, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': False, 'data': ''}
{'source_ip': '23.108.108.219', 'dest_ip': '10.0.2.15', 'source_port': 443, 'dest_port': 35196, 'timestamp': 1686053591.4344814, 'total_length': 3265, 'cache_flag': False, 'steps_flag': False, 'type_flag': False, 'status_code': True, 'cache_control': True, 'data': ''}
